id,user_id,title,created_at,updated_at
d99561fc-3e15-4ec2-ad30-6a37b3bdbea3,70258133-c6e3-4036-8f59-979e354c29a2,how does a hovercraft move over both water and gro...,2026-02-18 15:42:24.226823,2026-02-18 15:42:27.168615
a56b52f6-9800-4c2b-b0bb-194be29e56b3,70258133-c6e3-4036-8f59-979e354c29a2,A 5.8 g sample of sodium reacts completely with wa...,2026-02-19 02:16:53.890696,2026-02-19 02:19:36.658779
1fe7e355-4573-4b56-9c84-9d6bbb23e9ca,70258133-c6e3-4036-8f59-979e354c29a2,State Newtons First Law of Motion with an example,2026-02-20 04:52:20.599401,2026-02-20 04:52:23.241613
771ccb17-6109-4f55-97dd-a5044e9b0f71,70258133-c6e3-4036-8f59-979e354c29a2,Write electronic configuration of Sodium (Na),2026-02-19 02:20:07.173225,2026-02-19 02:20:37.785359
b5a4ce44-c739-4fb7-b209-e639c8dacf25,70258133-c6e3-4036-8f59-979e354c29a2,State Newton’s First Law of Motion with an example,2026-02-18 15:43:11.224901,2026-02-18 16:02:53.657544
16c1f836-1355-42b6-a7f5-2987140290ec,70258133-c6e3-4036-8f59-979e354c29a2,A 5.8 g sample of sodium reacts completely with wa...,2026-02-18 16:24:00.047737,2026-02-18 16:24:10.245951
49fb7c10-c8a6-4f3c-9c12-7d4ae627f36a,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-18 16:27:14.333591,2026-02-18 16:27:18.106473
33f3080e-a3ac-4f91-b33d-d538c1aeb2e9,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-18 16:27:17.394194,2026-02-18 16:27:21.360807
2f882d1e-7f7b-4257-a741-f1f4bedc0ccf,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-18 16:32:55.846059,2026-02-18 16:32:59.563493
0d15517c-1614-49f5-b5a0-4ad526d1ddf7,84c75371-a67a-41f9-a2ca-09455463a1ae,State Newtons First Law of Motion with an example,2026-02-20 08:09:28.308738,2026-02-20 08:09:34.555551
d6e7a705-98e4-444e-80a1-b877d9f09c0f,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-18 16:32:58.602747,2026-02-18 16:39:25.114753
14d4d050-cdc8-4f20-863e-70ad1bc2f0eb,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-18 16:45:26.756695,2026-02-18 16:45:30.444209
b218158f-14a2-4eb2-a7f2-440acb7b5de4,049503ac-d2aa-4410-91a7-899e95b61761,what is force,2026-02-20 05:07:20.434537,2026-02-20 05:07:53.800720
f8d6081c-10d3-450e-b3af-5c5dd2d1dad0,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-18 16:45:29.445682,2026-02-18 16:47:31.192310
b8190f90-dd33-4d56-b9e3-263435cb7201,70258133-c6e3-4036-8f59-979e354c29a2,New Conversation,2026-02-18 16:49:13.401362,2026-02-18 16:49:13.401362
e86043a7-aab1-411c-b588-e5fe5e963f66,70258133-c6e3-4036-8f59-979e354c29a2,Write electronic configuration of Sodium (Na),2026-02-18 16:49:15.865906,2026-02-18 16:50:13.508493
93e891e3-1f85-43f0-b87c-654089cb88e9,70258133-c6e3-4036-8f59-979e354c29a2,Write electronic configuration of Sodium (Na),2026-02-19 02:34:39.114934,2026-02-19 02:35:16.299672
d182e3a6-9d5b-42ba-9a07-cebe5ea58454,70258133-c6e3-4036-8f59-979e354c29a2,Write electronic configuration of Sodium (Na),2026-02-19 01:28:02.468670,2026-02-19 01:32:53.457586
39b6568d-c0b4-4ae8-a6b0-dcff5c593f74,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-19 02:36:14.507845,2026-02-19 02:36:16.331471
913a2f02-0bf5-4976-b670-57afcc918e7f,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-19 01:34:30.854681,2026-02-19 01:34:38.002981
19ecc98a-912e-4676-8707-1b535ccafd75,70258133-c6e3-4036-8f59-979e354c29a2,x2−7x+10=0,2026-02-18 10:30:29.321872,2026-02-18 10:30:40.404107
0c17ffa5-7e98-4997-a8f3-c0955263394b,70258133-c6e3-4036-8f59-979e354c29a2,Prove: sin²θ + cos²θ = 1,2026-02-19 02:41:45.338715,2026-02-19 02:41:47.678459
013b6b38-ce4e-49df-a571-218825e61f16,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-19 02:42:13.533412,2026-02-19 02:42:17.622936
11f20001-0341-4ee5-b244-8ace0a4c100f,70258133-c6e3-4036-8f59-979e354c29a2,Prove: sin²θ + cos²θ = 1,2026-02-18 10:48:29.964590,2026-02-18 10:51:35.439006
8b3bab93-0f73-429f-8602-8e5645522459,70258133-c6e3-4036-8f59-979e354c29a2,Write electronic configuration of Sodium (Na),2026-02-19 02:43:46.973709,2026-02-19 02:43:48.986373
54f3417a-99d2-4ff4-a817-62b406542d6d,70258133-c6e3-4036-8f59-979e354c29a2,Prove: sin²θ + cos²θ = 1,2026-02-18 09:55:22.501430,2026-02-18 10:10:17.622679
28ebd740-06bf-4c2f-a6cb-a67b467f2bb1,70258133-c6e3-4036-8f59-979e354c29a2,State Newtons First Law of Motion with an example,2026-02-20 07:38:59.581042,2026-02-20 07:39:04.352949
3c83a748-9222-4af7-9173-1256906e4fda,70258133-c6e3-4036-8f59-979e354c29a2,Prove: sin²θ + cos²θ = 1,2026-02-18 10:17:33.292739,2026-02-18 10:17:41.781470
dd553239-d9ab-47cd-bc09-cd0078666b2a,70258133-c6e3-4036-8f59-979e354c29a2,What is LAN and WAN?,2026-02-18 15:27:54.185584,2026-02-18 15:32:54.001838
0a949fbe-80fa-41d7-9c4b-e7807a1c8cd6,70258133-c6e3-4036-8f59-979e354c29a2,what is force,2026-02-19 01:41:23.454724,2026-02-19 01:53:32.350456
6a487867-c088-4a87-9e99-8b8475a7209d,70258133-c6e3-4036-8f59-979e354c29a2,State Newton’s First Law of Motion with an example,2026-02-18 10:18:41.384548,2026-02-18 10:25:06.870911
0c11a452-859b-4313-9239-0e6dd88870d0,70258133-c6e3-4036-8f59-979e354c29a2,State Newton’s First Law of Motion with an example,2026-02-18 15:35:42.955211,2026-02-18 15:35:47.559698
d8910135-a28f-4ac0-976d-44b05b2ba4d8,70258133-c6e3-4036-8f59-979e354c29a2,Prove: sin²θ + cos²θ = 1,2026-02-19 02:46:23.059430,2026-02-19 02:46:32.891700
6ec0ae2f-7d25-4d26-b6cd-f0696b6b204a,70258133-c6e3-4036-8f59-979e354c29a2,Write electronic configuration of Sodium (Na),2026-02-18 10:26:07.721755,2026-02-18 10:29:32.118364
3e420732-1a21-46a9-94b3-88ca00d1de43,70258133-c6e3-4036-8f59-979e354c29a2,State Newton’s First Law of Motion with an example,2026-02-19 01:54:03.206455,2026-02-19 01:54:12.040457
